epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9676,1.09334,3.83403,1.14397,0.00319,0.50007,0.06281,0.05129,0.95222,4.02747,1.01747,7.777e-05,7.777e-05,7.777e-05
2,76.5486,1.0854,2.96146,1.19154,0.01088,0.5322,0.07493,0.05962,1.01622,3.8832,1.03039,0.000165,0.000165,0.000165
3,111.9,1.20147,2.15897,1.17064,0.01358,0.50123,0.08241,0.06536,1.07366,3.72658,1.05139,0.000250471,0.000250471,0.000250471
4,147.271,1.17525,2.00074,1.16003,0.01341,0.46711,0.16996,0.13834,1.11886,3.72999,1.08836,0.000334181,0.000334181,0.000334181
5,182.984,1.23431,2.11571,1.24273,0.6077,0.25911,0.30049,0.23424,1.08944,3.57138,1.07128,0.000416132,0.000416132,0.000416132
6,218.742,1.19164,1.821,1.18995,0.74888,0.1832,0.26946,0.2079,1.14335,3.19511,1.09383,0.000496323,0.000496323,0.000496323
7,254.549,1.21864,1.84917,1.15832,0.8899,0.1417,0.31476,0.23779,1.26059,3.1009,1.15207,0.000574754,0.000574754,0.000574754
8,290.817,1.20168,1.84952,1.20654,0.85262,0.22722,0.37697,0.25852,1.2306,2.98421,1.12505,0.000651425,0.000651425,0.000651425
9,326.443,1.21163,1.79607,1.20705,0.89621,0.22494,0.43211,0.2724,1.23622,2.89072,1.15757,0.000726336,0.000726336,0.000726336
10,362.099,1.18294,1.77511,1.21315,0.85144,0.27082,0.45888,0.30773,1.28889,2.84736,1.19795,0.000799488,0.000799488,0.000799488
11,397.862,1.24618,1.74858,1.2072,0.7705,0.29342,0.35259,0.2238,1.382,2.8526,1.28203,0.00087088,0.00087088,0.00087088
12,433.825,1.22178,1.79508,1.23235,0.80749,0.31948,0.39548,0.23613,1.36846,2.48755,1.27437,0.000940511,0.000940511,0.000940511
13,469.977,1.23196,1.65513,1.22126,0.69335,0.32608,0.42804,0.27686,1.2812,2.35236,1.21087,0.000979013,0.000979013,0.000979013
14,506.397,1.15813,1.67414,1.22286,0.68551,0.46651,0.40593,0.25928,1.30585,2.32352,1.24334,0.000968014,0.000968014,0.000968014
15,542.2,1.22238,1.62888,1.20354,0.6278,0.50105,0.45138,0.28565,1.27559,2.22872,1.25124,0.000957015,0.000957015,0.000957015
16,577.909,1.19339,1.77899,1.25906,0.70471,0.44295,0.47252,0.30944,1.21845,2.2713,1.17891,0.000946016,0.000946016,0.000946016
17,613.434,1.16268,1.63872,1.2005,0.62019,0.34885,0.40944,0.29028,1.23993,2.07284,1.18605,0.000935018,0.000935018,0.000935018
18,880.686,1.22604,1.606,1.22284,0.60324,0.34991,0.40093,0.28867,1.17779,1.79558,1.16608,0.000924019,0.000924019,0.000924019
19,918.463,1.15076,1.52261,1.17128,0.49428,0.54463,0.43215,0.30167,1.1717,1.74686,1.15848,0.00091302,0.00091302,0.00091302
20,954.034,1.13189,1.52788,1.1464,0.51994,0.46997,0.38528,0.24605,1.21791,2.02579,1.18804,0.000902021,0.000902021,0.000902021
21,989.431,1.27324,1.61518,1.24587,0.64583,0.32006,0.4304,0.29246,1.28145,2.13256,1.25691,0.000891022,0.000891022,0.000891022
22,1025.22,1.12375,1.4561,1.14885,0.61649,0.40978,0.48109,0.3106,1.23187,1.94139,1.23627,0.000880023,0.000880023,0.000880023
23,1060.75,1.23179,1.48376,1.21651,0.53191,0.37959,0.43378,0.29954,1.15782,1.80244,1.18238,0.000869024,0.000869024,0.000869024
24,1096.16,1.16566,1.45808,1.17322,0.63364,0.45387,0.46968,0.32076,1.17347,1.78173,1.16367,0.000858025,0.000858025,0.000858025
25,1131.61,1.20741,1.58555,1.15904,0.56745,0.51745,0.45672,0.31126,1.20949,1.81647,1.19832,0.000847026,0.000847026,0.000847026
26,1167.34,1.22514,1.59646,1.16112,0.62143,0.46058,0.51672,0.36415,1.13318,1.56702,1.12365,0.000836027,0.000836027,0.000836027
27,1202.64,1.1517,1.59295,1.18694,0.60842,0.50601,0.50963,0.35449,1.07361,1.47995,1.09834,0.000825029,0.000825029,0.000825029
28,1238.11,1.15642,1.32334,1.1484,0.69543,0.48153,0.52992,0.37955,1.06339,1.45393,1.08575,0.00081403,0.00081403,0.00081403
29,1273.71,1.12001,1.48643,1.18407,0.5827,0.57262,0.564,0.3871,1.07634,1.43909,1.08217,0.000803031,0.000803031,0.000803031
30,1310.33,1.0687,1.36253,1.13838,0.60512,0.58985,0.58758,0.42976,1.03285,1.36771,1.05042,0.000792032,0.000792032,0.000792032
31,1345.8,1.15815,1.36576,1.10821,0.67309,0.53446,0.57581,0.39829,1.04302,1.38774,1.08034,0.000781033,0.000781033,0.000781033
32,1381.4,1.12241,1.25411,1.1007,0.69838,0.52438,0.58541,0.41142,1.09005,1.4117,1.11292,0.000770034,0.000770034,0.000770034
33,1416.89,1.12686,1.28437,1.13258,0.63845,0.55204,0.61306,0.42209,1.12396,1.41672,1.12378,0.000759035,0.000759035,0.000759035
34,1452.32,1.1701,1.31203,1.18559,0.81641,0.55505,0.68455,0.47653,1.0295,1.33037,1.06453,0.000748036,0.000748036,0.000748036
35,1488.08,1.06953,1.32882,1.14298,0.82524,0.66165,0.7279,0.50623,1.02331,1.28593,1.05339,0.000737037,0.000737037,0.000737037
36,1523.87,1.03454,1.13992,1.10696,0.70727,0.69939,0.73477,0.53636,1.00078,1.18187,1.04218,0.000726038,0.000726038,0.000726038
37,1559.24,0.98247,1.21358,1.09106,0.69548,0.65381,0.70218,0.51243,0.99701,1.18662,1.04024,0.00071504,0.00071504,0.00071504
38,1594.61,1.05918,1.24283,1.11786,0.80769,0.59565,0.68452,0.51443,1.00484,1.18891,1.04302,0.000704041,0.000704041,0.000704041
39,1630.16,1.03678,1.18337,1.08629,0.64456,0.67801,0.6783,0.5154,0.96386,1.15702,1.02147,0.000693042,0.000693042,0.000693042
40,1665.76,1.03495,1.146,1.09495,0.63428,0.70837,0.67653,0.51389,0.94488,1.14499,1.00419,0.000682043,0.000682043,0.000682043
41,1701.22,0.98481,1.07348,1.07309,0.71024,0.65272,0.68415,0.50896,0.92069,1.12742,1.00504,0.000671044,0.000671044,0.000671044
42,1736.61,0.9435,1.10014,1.06769,0.71412,0.6998,0.73477,0.5647,0.93854,1.14312,1.00223,0.000660045,0.000660045,0.000660045
43,1772.05,0.95761,1.07795,1.0783,0.88227,0.64844,0.7628,0.57204,0.8894,1.14423,0.9746,0.000649046,0.000649046,0.000649046
44,1807.79,0.93178,1.04579,1.05542,0.78763,0.63857,0.76042,0.56504,0.89121,1.09422,0.97919,0.000638047,0.000638047,0.000638047
45,1843.26,0.97993,1.03185,1.04666,0.7802,0.68294,0.77263,0.57616,0.89843,1.08926,0.98645,0.000627048,0.000627048,0.000627048
46,1878.72,1.01606,1.11456,1.13224,0.71472,0.78932,0.80424,0.59565,0.86311,1.06952,0.97255,0.000616049,0.000616049,0.000616049
47,1914.18,0.99057,1.09611,1.07236,0.821,0.73977,0.8075,0.58578,0.87039,1.10197,0.96853,0.000605051,0.000605051,0.000605051
48,1949.63,0.97178,1.03177,1.05808,0.82667,0.75005,0.79348,0.58061,0.85095,1.06863,0.96023,0.000594052,0.000594052,0.000594052
49,1985.12,0.96254,1.0327,1.06508,0.7628,0.77149,0.78527,0.58837,0.8722,1.05586,0.97186,0.000583053,0.000583053,0.000583053
50,2020.48,0.97796,1.02278,1.0785,0.73131,0.71523,0.7757,0.59727,0.85822,1.00967,0.95846,0.000572054,0.000572054,0.000572054
51,2055.65,0.93089,0.99894,1.05948,0.84019,0.72731,0.79256,0.6298,0.83831,0.94419,0.94913,0.000561055,0.000561055,0.000561055
52,2091.3,0.953,1.02505,1.0375,0.763,0.73774,0.79747,0.61658,0.8404,0.9446,0.95291,0.000550056,0.000550056,0.000550056
53,2725.91,0.90971,0.98511,1.05241,0.78386,0.69833,0.78919,0.59078,0.82009,0.93019,0.94333,0.000539057,0.000539057,0.000539057
54,2761.12,0.95073,1.04323,1.0657,0.89195,0.68892,0.79599,0.61207,0.83647,0.92286,0.94497,0.000528058,0.000528058,0.000528058
55,2796.36,0.96628,0.98409,1.03336,0.87385,0.75308,0.83364,0.63657,0.81834,0.87735,0.93616,0.000517059,0.000517059,0.000517059
56,2831.74,0.89327,0.95708,1.02648,0.82037,0.74794,0.8217,0.62789,0.79806,0.86033,0.92753,0.00050606,0.00050606,0.00050606
