epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7834,1.08773,4.29442,1.08516,0.00559,0.5397,0.04939,0.03553,1.03578,4.04524,1.05049,7.777e-05,7.777e-05,7.777e-05
2,70.9022,1.16047,3.84268,1.15018,0.00997,0.54915,0.10128,0.07281,1.08181,3.93191,1.05547,0.000150152,0.000150152,0.000150152
3,103.83,1.21344,2.9931,1.14407,0.01078,0.56373,0.1613,0.11292,1.09081,3.80031,1.03965,0.000204935,0.000204935,0.000204935
4,136.475,1.21775,2.56649,1.16951,0.00817,0.56925,0.27678,0.18087,1.08611,3.65235,1.03559,0.00024212,0.00024212,0.00024212
5,168.77,1.16369,2.45847,1.11326,0.00604,0.57281,0.34964,0.25384,1.10174,3.60337,1.03873,0.000261707,0.000261707,0.000261707
6,200.938,1.1161,2.31594,1.1031,0.96721,0.14904,0.40443,0.30131,1.08107,3.50094,1.04053,0.000263696,0.000263696,0.000263696
7,233.225,1.15418,2.23607,1.12059,1,0.03141,0.41726,0.30986,1.09088,3.37153,1.05132,0.000248086,0.000248086,0.000248086
8,265.901,1.05234,2.13383,1.12353,1,0.17879,0.45321,0.33484,1.08158,3.20388,1.04516,0.000214879,0.000214879,0.000214879
9,297.999,1.08652,2.21819,1.11418,0.92248,0.28648,0.46849,0.36199,1.08023,3.00751,1.03682,0.000164072,0.000164072,0.000164072
10,329.944,1.15785,2.08166,1.1007,0.90412,0.29257,0.48376,0.37535,1.08559,2.89183,1.03411,9.56682e-05,9.56682e-05,9.56682e-05
